InspectionDateAndId,gaze_endpoint_std_x,gaze_endpoint_std_y,gaze_endpoint_std_combined
20241015114613_242,12.03990691,14.34036088,18.72445749
20241015114623_243,12.18426131,14.01604374,18.57163713
20241015114636_244,11.60475808,15.22239821,19.14136404
20241015115118_247,12.50385642,14.13237719,18.86983069
20241015115143_249,12.06782776,14.07034745,18.53664329
20241015115548_251,11.8125279,14.12072489,18.41007025
20241015115628_252,12.42052537,13.49909272,18.34379881
20241015115821_253,12.71259775,11.91634786,17.42439347
20241015120052_254,12.48282036,13.87986736,18.66739194
20241015120226_255,11.9922256,14.83666588,19.07721493
20241015120412_256,11.96796408,13.64824236,18.15231896
20241015121219_262,12.53879472,14.56344876,19.21758083
20241015121512_264,11.85284428,15.48551291,19.50105197
20241015121612_265,11.92315862,13.58326794,18.07392816
20241015121937_267,10.30685543,13.65215059,17.10591958
20241015122010_268,11.3974892,12.95527504,17.25519955
20241015122056_269,12.89788613,13.92877522,18.98331493
20241015122131_270,12.48766729,14.78991161,19.35673836
20241015122351_271,13.35810517,13.55541411,19.0312434
20241015122609_272,11.81174039,13.83240154,18.18935247
20241015123010_275,17.14768387,12.81620677,21.40790083
20241015135432_277,12.64509928,13.87552468,18.77308502
20241015140004_279,13.41661349,12.78125956,18.53014067
20241015140028_281,9.245409835,14.06878958,16.83473918
20241015140417_282,12.34318766,13.96719658,18.63965831
20241015140755_284,11.83950909,13.94019249,18.28942159
20241015140847_285,12.14938014,13.73860926,18.34003332
20241015140854_286,11.8210479,14.1368388,18.42789691
20241015141123_287,10.4079352,12.85203477,16.53783278
20241015141239_288,12.2563563,14.04780686,18.64293827
20241015141324_289,12.40982144,13.78963456,18.55148753
20241015141528_290,12.2728473,13.75338682,18.43307978
20241015141723_291,12.39631834,14.02639044,18.71919702
20241015141910_292,11.99417172,13.90076229,18.36004759
20241015141929_293,12.86361053,13.66062748,18.763934
20241015142319_295,11.87269799,13.92394228,18.2985553
20241015142815_299,12.09132696,13.95732264,18.46637601
20241015142929_300,12.10946741,14.01075199,18.51864931
20241015143136_301,11.91921588,13.92823986,18.33203678
20241015143331_302,12.05686252,14.28268171,18.69125278
20241015143351_303,10.99179624,14.48210453,18.18105982
20241015143505_305,11.88425751,14.06330192,18.41227953
20241015143818_307,26.61516735,17.30251157,31.74498447
20241015144000_309,12.47587606,13.36383871,18.28222274
20241015144103_310,11.80188522,13.37144601,17.83479922
20241015144408_311,11.9488428,13.99899283,18.40507117
20241015144448_312,11.8099535,13.82619043,18.18346896
20241015144500_313,11.84760555,14.04457023,18.37432203
20241015144558_314,12.92837121,13.97146505,19.03535179
20241015144800_315,11.99355561,13.82886706,18.30527083
20241015144952_316,12.14627788,13.5690142,18.21126609
20241015145103_317,10.97630032,11.46069068,15.86904532
20241015145223_318,12.03365806,14.15347148,18.57766619
20241015145350_319,12.58100282,13.99688956,18.8200571
20241015145528_320,11.96068684,12.92693669,17.61146564
20241015145619_321,11.95550064,14.10292675,18.48855155
20241015145645_322,11.84718036,13.8585175,18.23222942
20241015145734_323,11.15691718,14.77380504,18.51329566
20241015150232_325,12.09228834,13.43399517,18.07472443
20241015150251_326,11.92027689,13.82086582,18.25128306
20241015150413_327,12.34989008,14.16709232,18.79431536
20241015151246_333,12.70546428,15.068785,19.71032988
20241015151508_334,12.08164721,14.19148007,18.63771193
20241015151621_335,12.32411728,13.81764035,18.51515734
20241015151807_336,12.35424663,13.6393068,18.40266556
20241015151923_337,11.99307591,14.21271755,18.59664513
20241015152015_338,12.50421466,13.24110296,18.21214408
20241015152031_339,11.95946922,14.05531053,18.4548275
20241015152420_340,11.25617557,12.48978082,16.81356933
20241015152436_341,12.04238095,14.0617274,18.51353874
20241015152539_342,12.02580281,13.90336644,18.38269653
20241015152656_343,11.62541359,14.03962671,18.22803772
20241015152912_344,11.72285641,13.89614684,18.18043618
20241015152958_345,11.84044905,14.153825,18.45337356
20241015153130_346,11.9589265,14.2093055,18.57202966
20241015153136_347,11.92483238,12.90593844,17.57170664
20241015153459_348,12.05830773,13.95069002,18.43975426
20241015153546_349,12.08034675,13.8704313,18.3935761
20241015153548_350,12.23419303,14.18830748,18.73455492
20241015153814_351,11.80435242,13.97762988,18.29526915
20241015153944_352,11.83788488,14.08818241,18.40142391
20241015154544_353,11.28604549,12.86812976,17.11617907
20241015154704_354,12.60237029,13.44033414,18.42450322
20241015154830_355,11.99396715,14.12554843,18.53068716
20241015154941_356,12.33503035,13.96534796,18.63287195
20241015155002_357,11.61301568,13.84431545,18.07006374
20241015155112_358,13.20486774,11.41528322,17.45500567
20241015155249_359,11.67570392,13.7721995,18.05534661
20241015155411_360,11.90477069,13.84426353,18.25889366
20241015160536_362,12.87472267,13.61301639,18.73693409
20241015160731_364,11.77161078,14.18059368,18.42986862
20241015160917_365,12.37233702,13.41720724,18.25092254
20241015160939_367,11.78050433,13.6296613,18.01521438
20241015161111_368,11.13052245,13.88466156,17.79529029
20241015161452_370,13.30773812,12.95943212,18.57532704
20241015161456_371,11.9366621,14.11301315,18.48407537
20241015161653_372,12.2141839,13.76357672,18.40169374
20241015161817_373,9.637160827,10.45235218,14.21712119
20241015162052_374,10.95939131,14.95919527,18.5441576
20241016095846_375,12.18939234,14.22175447,18.73071237
20241016100551_376,11.42959702,14.84551363,18.7356602
20241016100845_379,11.71120648,12.38259031,17.04350023
20241016101025_380,9.827393296,13.82491687,16.96189805
20241016101220_381,12.56934654,14.08033351,18.87443414
20241016101510_383,12.58149582,13.23228501,18.2588993
20241016101616_384,12.02023322,14.00596093,18.45678597
20241016102149_386,11.97193274,13.96693549,18.39571854
20241016102243_388,12.15596543,14.02886902,18.56277623
20241016102857_391,12.06946912,14.12895458,18.58223459
20241016103220_394,11.72856465,14.06252977,18.31158027
20241016103556_395,13.59958763,11.39550123,17.74277971
20241016103838_396,11.88636443,13.90152507,18.29038159
20241016103954_398,13.89178444,13.63497033,19.46520205
