InspectionDateAndId,less_than_sensitivity_count,mean_velocity,max_velocity,std_velocity,mean_velocity_x,max_velocity_x,std_velocity_x,mean_velocity_y,max_velocity_y,std_velocity_y,mean_acceleration,max_acceleration,std_acceleration,mean_acceleration_x,max_acceleration_x,std_acceleration_x,mean_acceleration_y,max_acceleration_y,std_acceleration_y,mean_jerk,max_jerk,std_jerk,mean_jerk_x,max_jerk_x,std_jerk_x,mean_jerk_y,max_jerk_y,std_jerk_y,manhattan_distance_sum,manhattan_distance_mean,euclidean_distance_sum,euclidean_distance_mean,gaze_endpoint_std_x,gaze_endpoint_std_y,gaze_endpoint_std_combined,exclude_initial_seconds
20241009111839_33,12,23.868758,241.9862127,28.86343646,-1.219610394,143.6872857,26.44807816,-0.00405125,219.9454,26.49202274,2142.006572,17324.46449,1867.005571,-4.430950139,7329.846939,1844.549954,1.98408298,15746.50154,2161.368514,236895.6132,1391461.384,195299.5553,696.3000852,777363.6592,198684.6284,-481.7448965,1221190.04,234062.2767,28990.9052,22.18125876,23048.97292,17.63502136,11.90794745,13.73768594,18.18029778,5
20241009111855_34,1,13.18387573,149.8528941,18.63202916,0.610671941,96.28923077,16.25341318,0.749073089,136.2092857,15.9956125,1054.519049,6116.36745,1044.209682,-9.752111316,5140.850592,946.5241253,-4.63312801,5826.175873,1142.960978,111644.7109,686786.0936,105609.3157,970.7414622,567345.2597,96605.89066,724.4092782,512329.8269,119514.4502,29439.64148,22.43875113,23313.19805,17.76920583,11.98811415,13.90419406,18.35868986,5
20241009112047_35,2,15.26959149,144.0210115,23.72742361,0.622711665,122.8980538,18.14576204,0.823949062,130.3325294,21.58276426,1341.868005,10481.23487,1511.195577,5.709765592,7325.06275,1162.039488,-5.305148733,10033.25602,1653.458587,148164.3933,1233853.959,157231.6076,-669.838976,538745.2185,121737.7763,632.1406528,1145339.496,178475.5765,29808.0196,22.58183303,23572.12535,17.85767072,11.92125177,14.06595792,18.43820533,5
20241009112415_36,1,15.84202907,181.3319003,23.33152755,-0.706886833,127.4064667,18.30127375,0.641411348,169.7385714,21.43553929,1374.626088,9151.61183,1495.975179,10.09117168,6229.10119,1188.898073,-0.117730435,6827.295918,1647.409526,151167.5202,1171760.965,156933.926,-1178.971129,719355.5414,126337.938,74.32757636,924960.196,177530.8599,31270.76097,22.8587434,24686.68587,18.04582301,12.10952787,14.21843751,18.67631202,5
20241009112532_37,1,12.87075264,118.9315803,18.28391184,-0.737428044,111.3699167,16.29799979,0.58421498,104.3388667,15.2789987,1057.377944,5428.313319,1072.197175,10.98952755,5083.180556,1020.203346,-0.50038003,5168.316327,1107.573479,114254.8831,729826.1345,109958.2952,-985.8451347,455135.1166,106787.9738,148.1712402,728026.482,117219.1955,29412.54128,22.33298503,23456.54524,17.81058864,11.88172525,14.02024407,18.37777568,5
20241009112542_38,8,19.87958745,238.575213,27.55434313,-1.250429562,146.6923866,19.7502991,0.009849648,238.4835625,27.61886741,1767.791903,13052.46921,1844.355984,13.26043205,7266.401493,1429.967932,9.318467923,12150.66587,2116.994627,197389.3161,1646495.246,200161.4687,-1201.514885,938381.8635,155919.1778,-787.7900875,1634938.233,233910.8834,41893.79372,22.51144209,34033.71929,18.28786635,12.14138836,14.59618269,18.98583315,5
20241009112601_39,2,14.62031433,159.2037724,23.54008617,0.342565556,147.9378571,19.99657119,0.780835867,157.992,19.165055,1354.298862,11272.10544,1728.358044,7.773648855,11185.70791,1450.918701,1.653076826,8888.43787,1648.065137,164809.0372,1308876.011,195457.8821,-589.569573,1261092.839,165468.0782,373.5848169,1306837.101,194899.026,35631.88033,23.62856786,27955.02082,18.53781221,12.89776355,14.17344565,19.1634774,5
20241009113031_40,1,15.08478311,219.6991379,22.89935836,0.179979474,180.2571333,18.71969246,0.565013629,146.6526667,20.02879867,1174.459187,11948.68085,1317.828501,-3.911454673,4783.859375,975.5798398,-11.10184248,11875.84263,1471.098829,120801.5579,1236997.484,131703.2186,141.1412829,470473.2969,96492.38814,675.533212,1161274.352,150424.3895,44941.75347,24.13628006,34475.30922,18.51520366,12.15497306,14.02523757,18.55938197,5
20241009113055_41,2,16.04918903,229.4627165,23.02173323,-0.547640579,169.9864286,20.26600733,0.788551807,169.6735294,19.38927262,1385.084587,8045.492267,1345.763259,-4.312134112,6181.944444,1254.594964,-0.648705821,7125.742187,1468.165701,150163.7679,839225.0575,140058.125,759.4351746,769243.7984,131580.8084,506.4991367,673022.5826,157642.2949,29441.01679,22.646936,23348.9099,17.96069992,12.10218579,13.92315925,18.44768995,5
20241009113206_42,1,30.46500443,565.1195814,37.1810531,0.682406262,172.3804286,27.53712417,-1.911404416,538.7746154,39.34634483,2573.169231,51603.42877,2924.806257,-1.757343189,15643.64343,2144.500462,29.0487414,49175.09818,3252.070477,278183.5242,4841959.999,323185.2267,656.4407967,1650258.574,233294.4527,-1746.905112,4713485.372,356938.3415,65235.59564,27.59542963,50447.63172,21.33994573,12.81034525,15.8700451,20.39517779,5
20241009113326_43,5,12.31031647,193.4543413,23.18749287,0.596224595,122.37825,18.59836459,0.388935639,193.0416154,18.51479941,954.6069218,8693.059921,1332.00116,-5.841392782,6399.726307,945.0618125,-0.99570116,6807.92518,1338.777249,105831.7883,797027.8277,134643.0353,1088.774158,461509.4317,93603.32164,-168.602923,772572.5556,143409.6186,35492.1492,23.27354046,27505.91031,18.0366625,11.8597954,13.76480931,18.16933467,5
20241009113513_44,1,18.66600832,198.6716256,21.65280189,-0.391448723,141.758,20.53505525,0.492254941,139.1944118,19.87912612,1546.872217,13162.36043,1536.837469,1.127721955,10808.29656,1487.410202,1.714970931,7511.887755,1594.455938,165667.2999,1336342.92,165391.5122,376.5704923,1140591.847,159541.9391,185.404428,845231.7784,171307.3262,35646.00239,21.80183633,28301.72415,17.30992302,10.59336927,13.96328501,17.52691647,5
20241009113623_45,1,11.76768044,143.1820504,20.64671141,0.054056114,129.7378462,17.20151663,0.589320882,104.0158824,16.38665919,969.0611614,7335.689882,1218.429972,-7.958496934,5391.311074,1028.192156,-1.760699638,6953.1875,1168.933523,106391.2867,678074.3605,122143.4458,1144.973901,627601.7007,106281.3576,58.83396207,605174.9271,122233.7344,28769.97403,22.44147741,22775.38947,17.76551441,12.29090629,13.62963391,18.35301877,5
20241009113714_46,1,28.09500704,414.2210754,39.30103538,0.121143904,315.0362366,28.96301647,-0.813093648,370.8566667,38.6570651,2335.596897,29566.67321,2902.235006,-25.986835,25212.8236,2004.313998,14.16758486,26665.7095,3140.036665,245596.4338,3139784.505,292950.3543,2283.129825,1592112.847,200165.5273,-1280.247469,2866553.02,325675.3419,135256.5778,42.96587606,109191.333,34.68593804,14.05206402,30.41489121,33.5041208,5
20241009114057_47,2,12.39178394,138.6602734,19.68809266,0.477379835,98.3585625,16.93856351,0.574717192,126.9785667,15.92809395,928.1970046,5589.875226,1003.90586,-1.567182268,5215.151211,934.9274844,7.149766362,5296.874111,997.6139928,98120.10821,552686.2178,97686.79037,333.1299774,458927.632,94074.66381,-713.1090458,551817.7616,101585.4457,29499.80055,22.58790241,23379.92479,17.90193322,12.06432515,14.05616816,18.52360129,5
20241009114235_48,1,14.36055263,136.5443431,22.36351471,-0.462285609,103.7332667,17.68269996,0.086924973,112.7,19.83565276,1287.205261,10626.00409,1515.551591,-10.61404403,5250.047619,1160.730765,-8.861916536,10235.24937,1614.406055,151642.8849,1107638.725,166982.049,1060.235509,563213.3139,130182.4486,882.97826,1099681.172,184198.7936,32928.72037,22.38526198,26182.60628,17.7991885,12.4318341,13.67580686,18.48183412,5
20241009114256_49,5,12.5145722,149.6548071,21.26680372,-0.589309436,127.4723077,17.98950132,0.182716223,109.6857333,16.87864417,1253.188027,7777.590803,1531.86848,0.23750122,5821.860804,1260.938013,5.074212315,6351.408284,1525.487068,155858.5145,942906.6726,178841.8072,347.7819124,680761.6475,147765.393,-950.7545099,826123.5841,185581.8749,29234.68477,21.99750547,23404.12204,17.61032508,11.88322819,13.80568702,18.21560063,5
20241009114326_50,1,19.92857368,202.068814,25.07001368,0.653835342,138.98925,21.73602523,0.426518957,146.6758125,23.50722066,1631.659311,13829.61304,1539.858067,1.458937398,8687.505454,1460.265582,4.98412592,13802.08889,1703.253485,173671.0712,1227786.202,157252.8606,126.5367072,895673.1515,153515.8258,-1118.811626,1202911.317,176979.4526,29893.22567,22.54391076,23771.68528,17.92736446,11.85657586,14.14776826,18.4590828,5
20241009114516_51,2,15.08186864,153.516721,22.08328883,-0.569334189,103.9364286,16.67347483,0.245939467,141.7255,20.89844532,1189.833705,7225.901686,1177.912198,2.708274772,5822.199791,1013.663199,11.31943301,7027.264184,1332.491218,128041.9175,899382.5023,119312.5497,34.11890599,732106.931,109054.9044,-1221.522232,726690.0611,136878.602,30850.67235,22.51873894,24411.86693,17.81888097,11.97136884,14.09817569,18.49519477,5
20241009114700_52,1,20.60872019,198.5005281,23.08423861,-0.589379749,175.7392308,19.62469543,-0.108920267,136.6025,23.91889457,1792.738435,16736.74517,1728.309995,-2.331702547,6426.84949,1401.376569,9.773641901,16560.8774,2058.399691,191238.1414,1632881.292,185813.8728,-84.10510499,808935.8601,147962.6487,-1500.082207,1625866.243,221818.8886,40238.37617,22.39197338,32650.62048,18.16951613,11.01029441,14.33274275,18.07357457,5
20241009115138_55,1,16.84682655,239.629706,29.30669713,0.412785661,181.055,25.52053798,0.735852854,188.006625,22.15148598,1209.224617,12894.2886,1362.88234,6.742158584,9801.933107,1211.183489,10.36250618,8377.636054,1361.085657,126012.6302,793645.56,129869.3047,-1093.987335,648581.6417,117021.9124,-1442.514365,723325.0321,138013.8169,33867.89613,23.7170141,26546.73816,18.59015277,12.94957646,14.16205916,19.18998307,5
20241009115237_56,2,32.81303538,350.0555812,33.73560521,-1.828542045,336.855,30.95859414,-2.508069031,230.1068,35.30889154,2671.694418,15928.50684,2434.868779,3.593715364,14744.04741,2224.772938,33.8307756,15014.32398,2848.818171,275868.8547,1928843.973,258778.7721,255.5275296,1654494.439,230828.06,-3077.98211,1863540.627,299631.349,125002.5163,29.67066611,95111.99458,22.57583541,10.73911192,13.18529326,17.0053075,5
20241009115410_57,1,18.17455595,573.5007585,31.28890882,-0.703164008,546.0498,27.61386481,0.061992384,175.3075467,23.37277233,1286.547943,10799.11818,1300.390987,34.26693405,10660.79843,1148.501509,2.573242441,9838.444019,1423.371269,132241.5897,773807.5714,119720.3788,-1228.078363,481427.9385,109193.8027,604.4101172,755874.0765,141051.9305,29159.85514,22.55209214,23047.2601,17.82464045,12.09441469,14.02608104,18.52041619,5
20241009115630_58,1,18.63306565,180.3196224,26.13494918,0.096684146,138.5449375,19.90961368,0.89365804,164.0095238,25.16000824,1571.455922,15455.89451,1692.675592,-2.872258242,5836.524167,1246.126237,4.081983265,14783.79906,1944.677058,172380.4415,1399133.35,181982.6525,13.39492854,666248.9715,133882.364,-643.8289928,1338291.226,211914.6062,33298.59139,23.92140186,25867.66606,18.58309343,12.56733913,14.74945266,19.37741899,5
